,Id,Category
0,0,0
1,1,0
2,2,0
3,3,0
4,4,1
5,5,0
6,6,1
7,7,0
8,8,0
9,9,0
10,10,0
11,11,0
12,12,1
13,13,0
14,14,1
15,15,0
16,16,0
17,17,1
18,18,0
19,19,0
20,20,1
21,21,0
22,22,0
23,23,1
24,24,1
25,25,1
26,26,0
27,27,0
28,28,0
29,29,1
30,30,0
31,31,0
32,32,1
33,33,0
34,34,0
35,35,0
36,36,0
37,37,0
38,38,1
39,39,1
40,40,0
41,41,0
42,42,0
43,43,0
44,44,1
45,45,1
46,46,0
47,47,0
48,48,1
49,49,0
50,50,1
51,51,0
52,52,0
53,53,1
54,54,1
55,55,0
56,56,1
57,57,0
58,58,1
59,59,0
60,60,0
61,61,1
62,62,1
63,63,0
64,64,0
65,65,0
66,66,0
67,67,1
68,68,1
69,69,0
70,70,1
71,71,1
72,72,1
73,73,1
74,74,1
75,75,0
76,76,1
77,77,0
78,78,1
79,79,1
80,80,1
81,81,1
82,82,0
83,83,1
84,84,1
85,85,1
86,86,0
87,87,0
88,88,0
89,89,1
90,90,1
91,91,1
92,92,0
93,93,1
94,94,0
95,95,1
96,96,1
97,97,0
98,98,0
99,99,1
100,100,0
101,101,0
102,102,0
103,103,0
104,104,0
105,105,0
106,106,0
107,107,0
108,108,1
109,109,1
110,110,1
111,111,1
112,112,1
113,113,0
114,114,1
115,115,0
116,116,1
117,117,1
118,118,1
119,119,0
120,120,0
121,121,1
122,122,0
123,123,1
124,124,0
125,125,0
126,126,0
127,127,1
128,128,1
129,129,0
130,130,0
131,131,1
132,132,0
133,133,0
134,134,0
135,135,0
136,136,0
137,137,0
138,138,0
139,139,0
140,140,1
141,141,0
142,142,1
143,143,1
144,144,0
145,145,0
146,146,1
147,147,0
148,148,1
149,149,1
150,150,1
151,151,1
152,152,0
153,153,0
154,154,1
155,155,0
156,156,1
157,157,1
158,158,0
159,159,1
160,160,1
161,161,1
162,162,0
163,163,0
164,164,0
165,165,0
166,166,1
167,167,1
168,168,1
169,169,0
170,170,1
171,171,0
172,172,1
173,173,0
174,174,1
175,175,0
176,176,1
177,177,0
178,178,1
179,179,1
180,180,1
181,181,0
182,182,1
183,183,0
184,184,1
185,185,1
186,186,0
187,187,0
188,188,1
189,189,1
190,190,1
191,191,1
192,192,1
193,193,0
194,194,0
195,195,0
196,196,0
197,197,1
198,198,1
199,199,1
200,200,0
201,201,0
202,202,1
203,203,0
204,204,0
205,205,1
206,206,0
207,207,1
208,208,0
209,209,1
210,210,1
211,211,1
212,212,1
213,213,1
214,214,0
215,215,1
216,216,1
217,217,1
218,218,0
219,219,1
220,220,1
221,221,0
222,222,0
223,223,0
224,224,0
225,225,0
226,226,1
227,227,1
228,228,1
229,229,1
230,230,1
231,231,0
232,232,0
233,233,1
234,234,1
235,235,1
236,236,0
237,237,0
238,238,1
239,239,0
240,240,1
241,241,1
242,242,0
243,243,0
244,244,0
245,245,1
246,246,0
247,247,0
248,248,1
249,249,1
250,250,0
251,251,0
252,252,1
253,253,0
254,254,0
255,255,0
256,256,0
257,257,1
258,258,0
259,259,1
260,260,0
261,261,1
262,262,0
263,263,1
264,264,1
265,265,0
266,266,1
267,267,0
268,268,0
269,269,1
270,270,1
271,271,1
272,272,0
273,273,0
274,274,0
275,275,0
276,276,1
277,277,1
278,278,0
279,279,1
280,280,0
281,281,1
282,282,1
283,283,1
284,284,0
285,285,0
286,286,0
287,287,0
288,288,1
289,289,0
290,290,1
291,291,1
292,292,1
293,293,0
294,294,1
295,295,1
296,296,0
297,297,1
298,298,0
299,299,1
300,300,1
301,301,1
302,302,0
303,303,0
304,304,1
305,305,1
306,306,0
307,307,1
308,308,1
309,309,0
310,310,1
311,311,0
312,312,0
313,313,1
314,314,1
315,315,0
316,316,0
317,317,1
318,318,1
319,319,1
320,320,1
321,321,1
322,322,1
323,323,0
324,324,1
325,325,1
326,326,1
327,327,1
328,328,1
329,329,0
330,330,1
331,331,0
332,332,0
333,333,0
334,334,0
335,335,1
336,336,0
337,337,1
338,338,1
339,339,0
340,340,1
341,341,1
342,342,0
343,343,1
344,344,0
345,345,0
346,346,0
347,347,0
348,348,1
349,349,1
350,350,1
351,351,0
352,352,0
353,353,1
354,354,0
355,355,1
356,356,0
357,357,1
358,358,0
359,359,0
360,360,1
361,361,1
362,362,1
363,363,0
364,364,1
365,365,1
366,366,1
367,367,1
368,368,0
369,369,0
370,370,0
371,371,1
372,372,1
373,373,0
374,374,0
375,375,0
376,376,1
377,377,0
378,378,0
379,379,1
380,380,0
381,381,0
382,382,1
383,383,1
384,384,0
385,385,0
386,386,1
387,387,0
388,388,0
389,389,0
390,390,0
391,391,1
392,392,1
393,393,1
394,394,0
395,395,1
396,396,0
397,397,0
398,398,0
399,399,0
400,400,1
401,401,1
402,402,0
403,403,0
404,404,0
405,405,1
406,406,0
407,407,1
408,408,0
409,409,1
410,410,1
411,411,1
412,412,1
413,413,1
414,414,1
415,415,0
416,416,1
417,417,1
418,418,0
419,419,1
420,420,0
421,421,1
422,422,1
423,423,0
424,424,0
425,425,0
426,426,1
427,427,1
428,428,1
429,429,1
430,430,0
431,431,1
432,432,0
433,433,1
434,434,0
435,435,1
436,436,0
437,437,0
438,438,1
439,439,0
440,440,1
441,441,1
442,442,1
443,443,0
444,444,1
445,445,1
446,446,0
447,447,1
448,448,1
449,449,1
450,450,1
451,451,0
452,452,1
453,453,1
454,454,1
455,455,1
456,456,1
457,457,0
458,458,1
459,459,0
460,460,0
461,461,1
462,462,1
463,463,1
464,464,0
465,465,0
466,466,0
467,467,0
468,468,1
469,469,0
470,470,0
471,471,1
472,472,1
473,473,0
474,474,1
475,475,0
476,476,1
477,477,0
478,478,1
479,479,1
480,480,1
481,481,0
482,482,0
483,483,1
484,484,1
485,485,0
486,486,1
487,487,0
488,488,0
489,489,0
490,490,0
491,491,0
492,492,1
493,493,1
494,494,1
495,495,0
496,496,0
497,497,0
498,498,0
499,499,0
500,500,0
501,501,0
502,502,1
503,503,0
504,504,1
505,505,0
506,506,0
507,507,0
508,508,1
509,509,1
510,510,1
511,511,1
512,512,0
513,513,0
514,514,0
515,515,1
516,516,1
517,517,0
518,518,1
519,519,0
520,520,0
521,521,0
522,522,1
523,523,0
524,524,1
525,525,1
526,526,0
527,527,0
528,528,0
529,529,1
530,530,1
531,531,1
532,532,1
533,533,0
534,534,0
535,535,1
536,536,1
537,537,0
538,538,0
539,539,1
540,540,1
541,541,1
542,542,0
543,543,0
544,544,0
545,545,0
546,546,0
547,547,1
548,548,1
549,549,1
550,550,1
551,551,1
552,552,0
553,553,1
554,554,0
555,555,1
556,556,0
557,557,0
558,558,0
559,559,0
560,560,0
561,561,1
562,562,0
563,563,1
564,564,0
565,565,0
566,566,1
567,567,0
568,568,0
569,569,1
570,570,0
571,571,1
572,572,0
573,573,0
574,574,1
575,575,0
576,576,1
577,577,0
578,578,0
579,579,1
580,580,1
581,581,0
582,582,1
583,583,1
584,584,0
585,585,1
586,586,1
587,587,1
588,588,0
589,589,1
590,590,1
591,591,0
592,592,0
593,593,0
594,594,0
595,595,1
596,596,0
597,597,1
598,598,1
599,599,0
600,600,1
601,601,1
602,602,0
603,603,0
604,604,0
605,605,1
606,606,0
607,607,0
608,608,1
609,609,1
610,610,1
611,611,1
612,612,1
613,613,0
614,614,1
615,615,1
616,616,1
617,617,1
618,618,0
619,619,0
620,620,0
621,621,1
622,622,1
623,623,1
624,624,0
625,625,1
626,626,0
627,627,0
628,628,1
629,629,1
630,630,1
631,631,0
632,632,0
633,633,0
634,634,1
635,635,1
636,636,0
637,637,0
638,638,0
